submitted_on  ,latitude  ,longitude  ,gps_method  ,district  ,traditional_authority  ,group_village_headman  ,village  ,well_being_analysis  ,household_id  ,respondent_gender  ,attended_school  ,highest_education_qualification  ,marital_status  ,religion  ,main_income_source  ,monthly_family_income  ,household_size  ,main_water_source  ,waterpoint_functional_status  ,nonfunctional_reason  ,waterpoint_current_issues  ,waterpoint_current_problem  ,waterpoint_current_problem_other  ,water_collection_time_minutes  ,seasonal_water_shortage  ,shortage_months  ,daily_water_use_buckets  ,has_water_tariff  ,no_tariff_reason  ,no_tariff_reason_other  ,waterpoint_breakdown_response  ,willing_to_pay_for_improvement  ,current_tariff_kwacha  ,current_tariff_unknown  ,max_tariff_willing_to_pay  ,satisfaction_service_level  ,satisfaction_maintenance_fund  ,satisfaction_sanitation_hygiene  ,satisfaction_theft_protection  ,satisfaction_water_quality  
9/20/2021,-15.4724389,35.2949514,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,70,Female,Yes,Primary,Single,Muslim, Income from piecework or ganyu,"Below K100,000",3, Unprotected dug well,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,It's unprotected dug well, Contribute to maintain,Yes ,NA,NA,NA, Very satisfied, Very satisfied, Satisfied, Very satisfied, Very satisfied
9/20/2021,-15.4681863,35.2938581,GPS,Zomba,Chikowi,Matache,Kagaso,Hanging-in,62,Female,Yes,Primary,Widowed,Christian,Farming,"Below K100,000",5,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Worn out parts,NA,4,Yes,"October, November",5,Yes ,NA,NA,NA,NA,200,NA,500, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/20/2021,-15.4673709,35.2939555,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,54,Male ,Yes,Secondary,Married ,Christian, Income from piecework or ganyu,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,45,Yes,October,3,Yes ,NA,NA,NA,NA,200,NA,NA, Very satisfied, Very satisfied, Somewhat satisfied, Satisfied, Very satisfied
9/20/2021,-15.4673,35.2937643,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,64,Female,Yes,Primary,Married ,Muslim,Farming,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,30,Yes,October,10,Yes ,NA,NA,NA,NA,200,NA,NA, Very satisfied, Very satisfied, Very satisfied, Very satisfied, Very satisfied
9/20/2021,-15.4678964,35.2943778,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,51,Female,Yes,Secondary,Divorced,Christian, Income from piecework or ganyu,"Below K100,000",3,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Worn out parts,NA,30,Yes,"September, October",4,Yes ,NA,NA,NA,NA,200,NA,NA, Very satisfied, Very satisfied, Satisfied, Very satisfied, Very satisfied
9/20/2021,-15.4708752,35.2947896,GPS,Zomba,Chikowi,Matache,Kagaso,Hanging-in,35,Female,Yes,Primary,Single,Muslim, Income from piecework or ganyu,"Below K100,000",2,Borehole or tubewell,Functional,NA,Yes," Worn out parts, Other",Stiff when pumping,30,Yes,"October, November",4,Yes ,NA,NA,NA,NA,100,NA,100, Very satisfied, Satisfied, Very satisfied, Neither satisfied nor dissatisfied, Very satisfied
9/20/2021,-15.4711785,35.2954194,GPS,Zomba,Chikowi,Matache,Kagaso,Hanging-in,45,Male ,Yes,Primary,Married ,Muslim, Income from piecework or ganyu,"Below K100,000",4,Borehole or tubewell, Partially functional but in need of repair,NA,Yes, Worn out parts,NA,10,No,NA,2,Yes ,NA,NA,NA,NA,100,NA,3500, Very satisfied, Satisfied, Somewhat dissatisfied, Satisfied, Very satisfied
9/20/2021,-15.4726181,35.2968692,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,57,Female,No,NA,Divorced,Muslim, Income from piecework or ganyu,"Below K100,000",3,Borehole or tubewell,Functional,NA,No,NA,NA,10,No,NA,5,No, Service provider has more than enough money saved for maintenance,NA, Contribute to maintain,Yes ,NA,NA,NA, Very satisfied, Satisfied, Very satisfied, Satisfied, Very satisfied
9/20/2021,-15.4717321,35.2960789,GPS,Zomba,Chikowi,Matache,Kagaso,Stepping-up,13,Female,Yes,Primary,Single,Muslim, Wages or salary from formal employment,"Below K100,000",5,Borehole or tubewell,Functional,NA,No,NA,NA,30,Yes,"August, September, October",2,Yes ,NA,NA,NA,NA,100,NA,NA, Satisfied, Satisfied, Satisfied, Satisfied, Satisfied
9/20/2021,-15.4719088,35.2960537,GPS,Zomba,Chikowi,Matache,Kagaso,Hanging-in,37,Female,Yes,Primary,Divorced,Muslim, Business or trading activities,"Below K100,000",8,Borehole or tubewell,Functional,NA,No,NA,NA,5,Yes,"October, November",5,No,Other,The owner of the borehole pays for the repaires, Report to private contractor Includes Area Mechanic,Yes ,NA,NA,NA, Somewhat satisfied, Neither satisfied nor dissatisfied, Satisfied, Satisfied, Very satisfied
